iso3c,Country,SPAM_short_name,SPAM_production,FAO_production,SPAM_full_name,per_diff,raw_diff
CAF,Central African Republic,acof,4.224668085575104,10120,arabica coffee,1.9983308675087417,-10115.775331914425
TCD,Chad,acof,0,NA,arabica coffee,NA,NA
CHL,Chile,acof,0,NA,arabica coffee,NA,NA
CHN,China,acof,115781.30517974496,102785,arabica coffee,0.11892322715577805,12996.305179744959
CXR,Christmas Island,acof,0,NA,arabica coffee,NA,NA
CCK,Cocos Islands,acof,0,NA,arabica coffee,NA,NA
COL,Colombia,acof,751549.2728197873,818243,arabica coffee,0.08497140460554324,-66693.72718021274
COM,Comoros,acof,0,135,arabica coffee,2,-135
COK,Cook Islands,acof,0,0,arabica coffee,NaN,0
CRI,Costa Rica,acof,107845.25608962774,102669,arabica coffee,0.04917724990011051,5176.256089627743
CIV,Côte d'Ivoire,acof,0,106000,arabica coffee,2,-106000
HRV,Croatia,acof,0,NA,arabica coffee,NA,NA
CUB,Cuba,acof,7083.443424448371,6785,arabica coffee,0.04303920999847058,298.44342444837093
CUW,Curaçao,acof,0,NA,arabica coffee,NA,NA
CYP,Cyprus,acof,0,NA,arabica coffee,NA,NA
CZE,Czech Republic,acof,0,NA,arabica coffee,NA,NA
DNK,Denmark,acof,0,NA,arabica coffee,NA,NA
DJI,Djibouti,acof,0,NA,arabica coffee,NA,NA
DMA,Dominica,acof,213.55324268341064,213,arabica coffee,0.0025940146647590403,0.5532426834106445
DOM,Dominican Republic,acof,15207.464816879481,11471,arabica coffee,0.2801109316091845,3736.464816879481
ECU,Ecuador,acof,912.2130876267329,3905,arabica coffee,1.2425387284861444,-2992.786912373267
EGY,Egypt,acof,0,NA,arabica coffee,NA,NA
SLV,El Salvador,acof,30527.640225805342,38636,arabica coffee,0.23446885524597888,-8108.359774194658
GNQ,Equatorial Guinea,acof,0,4239,arabica coffee,2,-4239
ERI,Eritrea,acof,0,NA,arabica coffee,NA,NA
EST,Estonia,acof,0,NA,arabica coffee,NA,NA
ETH,Ethiopia,acof,427317.7748582363,469091,arabica coffee,0.09320128564865948,-41773.22514176369
FLK,Falkland Islands,acof,0,NA,arabica coffee,NA,NA
FRO,Faroe Islands,acof,0,NA,arabica coffee,NA,NA
FJI,Fiji,acof,0,19,arabica coffee,2,-19
FIN,Finland,acof,0,NA,arabica coffee,NA,NA
FRA,France,acof,0,NA,arabica coffee,NA,NA
GUF,French Guiana,acof,0,NA,arabica coffee,NA,NA
PYF,French Polynesia,acof,0,22,arabica coffee,2,-22
GAB,Gabon,acof,3.012389302253723,92,arabica coffee,1.8731790948790605,-88.98761069774628
GMB,Gambia,acof,0,NA,arabica coffee,NA,NA
GEO,Georgia,acof,0,NA,arabica coffee,NA,NA
DEU,Germany,acof,0,NA,arabica coffee,NA,NA
GHA,Ghana,acof,0,736,arabica coffee,2,-736
GIB,Gibraltar,acof,0,NA,arabica coffee,NA,NA
GRC,Greece,acof,0,NA,arabica coffee,NA,NA
GRL,Greenland,acof,0,NA,arabica coffee,NA,NA
GRD,Grenada,acof,27.5,NA,arabica coffee,NA,NA
GLP,Guadeloupe,acof,29.69999972730875,30,arabica coffee,0.010050260437573162,-0.30000027269124985
GUM,Guam,acof,0,NA,arabica coffee,NA,NA
GTM,Guatemala,acof,197043.27554759383,236145,arabica coffee,0.18052992963845862,-39101.72445240617
GGY,Guernsey,acof,0,NA,arabica coffee,NA,NA
GIN,Guinea,acof,0,38900,arabica coffee,2,-38900
GNB,Guinea-Bissau,acof,0,NA,arabica coffee,NA,NA
GUY,Guyana,acof,0,413,arabica coffee,2,-413
HTI,Haiti,acof,43807.778262004256,43257,arabica coffee,0.012652148733367192,550.7782620042562
HND,Honduras,acof,375465.88381668925,362229,arabica coffee,0.035887150926692625,13236.883816689253
HKG,Hong Kong,acof,0,NA,arabica coffee,NA,NA
HUN,Hungary,acof,0,NA,arabica coffee,NA,NA
ISL,Iceland,acof,0,NA,arabica coffee,NA,NA
IND,India,acof,105695.50677262247,348000,arabica coffee,1.0681370637810292,-242304.49322737753
IDN,Indonesia,acof,84566.54301843792,639305,arabica coffee,1.5326986185100862,-554738.4569815621
IRN,Iran,acof,0,NA,arabica coffee,NA,NA
IRQ,Iraq,acof,0,NA,arabica coffee,NA,NA
IRL,Ireland,acof,0,NA,arabica coffee,NA,NA
IMN,Isle of Man,acof,0,NA,arabica coffee,NA,NA
ISR,Israel,acof,0,NA,arabica coffee,NA,NA
ITA,Italy,acof,0,NA,arabica coffee,NA,NA
JAM,Jamaica,acof,8220.738910615444,7580,arabica coffee,0.08110239834226679,640.7389106154442
JPN,Japan,acof,0,NA,arabica coffee,NA,NA
JEY,Jersey,acof,0,NA,arabica coffee,NA,NA
JOR,Jordan,acof,0,NA,arabica coffee,NA,NA
KAZ,Kazakhstan,acof,0,NA,arabica coffee,NA,NA
KEN,Kenya,acof,48802.88696940243,46100,arabica coffee,0.05696111163138521,2702.8869694024324
KIR,Kiribati,acof,0,NA,arabica coffee,NA,NA
XKO,Kosovo,acof,0,NA,arabica coffee,NA,NA
KWT,Kuwait,acof,0,NA,arabica coffee,NA,NA
KGZ,Kyrgyzstan,acof,0,NA,arabica coffee,NA,NA
LAO,Laos,acof,53.707495361566544,136600,arabica coffee,1.998427924237229,-136546.29250463843
LVA,Latvia,acof,0,NA,arabica coffee,NA,NA
LBN,Lebanon,acof,0,NA,arabica coffee,NA,NA
LSO,Lesotho,acof,0,NA,arabica coffee,NA,NA
LBR,Liberia,acof,0,646,arabica coffee,2,-646
LBY,Libya,acof,0,NA,arabica coffee,NA,NA
LIE,Liechtenstein,acof,0,NA,arabica coffee,NA,NA
LTU,Lithuania,acof,0,NA,arabica coffee,NA,NA
LUX,Luxembourg,acof,0,NA,arabica coffee,NA,NA
MAC,Macao,acof,0,NA,arabica coffee,NA,NA
MKD,Macedonia,acof,0,NA,arabica coffee,NA,NA
MDG,Madagascar,acof,0,53093,arabica coffee,2,-53093
MWI,Malawi,acof,7832.242356792092,7217,arabica coffee,0.08176389777049718,615.2423567920923
MYS,Malaysia,acof,364.50229116901755,7170,arabica coffee,1.8064889878147674,-6805.497708830982
MDV,Maldives,acof,0,NA,arabica coffee,NA,NA
MLI,Mali,acof,0,NA,arabica coffee,NA,NA
MLT,Malta,acof,0,NA,arabica coffee,NA,NA
MHL,Marshall Islands,acof,0,NA,arabica coffee,NA,NA
MTQ,Martinique,acof,24.389999985694885,27,arabica coffee,0.10157618272160515,-2.6100000143051147
MRT,Mauritania,acof,0,NA,arabica coffee,NA,NA
MUS,Mauritius,acof,0,0,arabica coffee,NaN,0
MYT,Mayotte,acof,0,NA,arabica coffee,NA,NA
MEX,Mexico,acof,153287.4844778329,151714,arabica coffee,0.010317880783608265,1573.4844778329134
FSM,Micronesia,acof,0,NA,arabica coffee,NA,NA
MDA,Moldova,acof,0,NA,arabica coffee,NA,NA
MCO,Monaco,acof,0,NA,arabica coffee,NA,NA
MNG,Mongolia,acof,0,NA,arabica coffee,NA,NA
MNE,Montenegro,acof,0,NA,arabica coffee,NA,NA
MSR,Montserrat,acof,0,NA,arabica coffee,NA,NA
MAR,Morocco,acof,0,NA,arabica coffee,NA,NA
MOZ,Mozambique,acof,917.9578174054623,835,arabica coffee,0.09464896026790584,82.95781740546227
MMR,Myanmar,acof,11781.529893755913,8474,arabica coffee,0.32658043616775595,3307.529893755913
NAM,Namibia,acof,0,NA,arabica coffee,NA,NA
NRU,Nauru,acof,0,NA,arabica coffee,NA,NA
NPL,Nepal,acof,580.3479038178921,532,arabica coffee,0.08692946451725835,48.347903817892075
NLD,Netherlands,acof,0,NA,arabica coffee,NA,NA
NCL,New Caledonia,acof,0,4,arabica coffee,2,-4
NZL,New Zealand,acof,0,NA,arabica coffee,NA,NA
NIC,Nicaragua,acof,142460.06257729232,122470,arabica coffee,0.1509082237238388,19990.062577292323
NER,Niger,acof,0,NA,arabica coffee,NA,NA
NGA,Nigeria,acof,3.325250059366226,1698,arabica coffee,1.9921819768224795,-1694.6747499406338
NIU,Niue,acof,0,NA,arabica coffee,NA,NA
NFK,Norfolk Island,acof,0,NA,arabica coffee,NA,NA
PRK,North Korea,acof,0,NA,arabica coffee,NA,NA
MNP,Northern Mariana Islands,acof,0,NA,arabica coffee,NA,NA
NOR,Norway,acof,0,NA,arabica coffee,NA,NA
OMN,Oman,acof,0,NA,arabica coffee,NA,NA
PAK,Pakistan,acof,0,NA,arabica coffee,NA,NA
PLW,Palau,acof,0,NA,arabica coffee,NA,NA
PSE,Palestina,acof,0,NA,arabica coffee,NA,NA
PAN,Panama,acof,5750.320262908936,6135,arabica coffee,0.06473190937757936,-384.67973709106445
PNG,Papua New Guinea,acof,73462.00422272086,58700,arabica coffee,0.22339255990464202,14762.004222720861
PRY,Paraguay,acof,365.42838779091835,395,arabica coffee,0.07777619216712471,-29.57161220908165
PER,Peru,acof,292896.6884910315,277760,arabica coffee,0.05305006949469731,15136.688491031528
PHL,Philippines,acof,0,68823,arabica coffee,2,-68823
PCN,Pitcairn Islands,acof,0,NA,arabica coffee,NA,NA
POL,Poland,acof,0,NA,arabica coffee,NA,NA
PRT,Portugal,acof,0,NA,arabica coffee,NA,NA
PRI,Puerto Rico,acof,4996.973158463836,4416,arabica coffee,0.12344094659219203,580.9731584638357
QAT,Qatar,acof,0,NA,arabica coffee,NA,NA
COG,Republic of Congo,acof,0.6384152770042419,3008,arabica coffee,1.999151223658167,-3007.3615847229958
REU,Reunion,acof,0,NA,arabica coffee,NA,NA
ROU,Romania,acof,0,NA,arabica coffee,NA,NA
RUS,Russia,acof,0,NA,arabica coffee,NA,NA
RWA,Rwanda,acof,20034.96880340576,19189,arabica coffee,0.04313529860508697,845.9688034057617
BLM,Saint-Barthélemy,acof,0,NA,arabica coffee,NA,NA
MAF,Saint-Martin,acof,0,NA,arabica coffee,NA,NA
SHN,Saint Helena,acof,0,NA,arabica coffee,NA,NA
KNA,Saint Kitts and Nevis,acof,0,NA,arabica coffee,NA,NA
LCA,Saint Lucia,acof,0,0,arabica coffee,NaN,0
SPM,Saint Pierre and Miquelon,acof,0,NA,arabica coffee,NA,NA
VCT,Saint Vincent and the Grenadines,acof,66.41999793052673,180,arabica coffee,0.9218407842166683,-113.58000206947327
WSM,Samoa,acof,0,12,arabica coffee,2,-12
SMR,San Marino,acof,0,NA,arabica coffee,NA,NA
STP,São Tomé and Príncipe,acof,2.4666667729616165,10,arabica coffee,1.2085561223754027,-7.5333332270383835
SAU,Saudi Arabia,acof,3.200000047683716,0,arabica coffee,2,3.200000047683716
SEN,Senegal,acof,0,NA,arabica coffee,NA,NA
SRB,Serbia,acof,0,NA,arabica coffee,NA,NA
SYC,Seychelles,acof,0,NA,arabica coffee,NA,NA
SLE,Sierra Leone,acof,0,31400,arabica coffee,2,-31400
SGP,Singapore,acof,0,NA,arabica coffee,NA,NA
SXM,Sint Maarten,acof,0,NA,arabica coffee,NA,NA
SVK,Slovakia,acof,0,NA,arabica coffee,NA,NA
SVN,Slovenia,acof,0,NA,arabica coffee,NA,NA
SLB,Solomon Islands,acof,0,NA,arabica coffee,NA,NA
SOM,Somalia,acof,6.499999821186066,NA,arabica coffee,NA,NA
ZAF,South Africa,acof,0,NA,arabica coffee,NA,NA
KOR,South Korea,acof,0,NA,arabica coffee,NA,NA
SSD,South Sudan,acof,7.900000169873238,NA,arabica coffee,NA,NA
ESP,Spain,acof,0,0,arabica coffee,NaN,0
LKA,Sri Lanka,acof,0,5593,arabica coffee,2,-5593
SDN,Sudan,acof,0,NA,arabica coffee,NA,NA
SUR,Suriname,acof,6.750000178813934,5,arabica coffee,0.2978723663288629,1.7500001788139343
SJM,Svalbard and Jan Mayen,acof,0,NA,arabica coffee,NA,NA
SWZ,Swaziland,acof,0,NA,arabica coffee,NA,NA
SWE,Sweden,acof,0,NA,arabica coffee,NA,NA
CHE,Switzerland,acof,0,NA,arabica coffee,NA,NA
SYR,Syria,acof,0,NA,arabica coffee,NA,NA
TWN,Taiwan,acof,0,0,arabica coffee,NaN,0
TJK,Tajikistan,acof,0,NA,arabica coffee,NA,NA
TZA,Tanzania,acof,39391.58722548187,52982,arabica coffee,0.2942488904613878,-13590.412774518132
THA,Thailand,acof,38.08249108493328,31386,arabica coffee,1.9951524451228464,-31347.917508915067
TLS,Timor-Leste,acof,7706.720121175051,9521,arabica coffee,0.210623328689322,-1814.2798788249493
TGO,Togo,acof,0,17933,arabica coffee,2,-17933
TKL,Tokelau,acof,0,NA,arabica coffee,NA,NA
TON,Tonga,acof,2.5,16,arabica coffee,1.4594594594594594,-13.5
TTO,Trinidad and Tobago,acof,0,51,arabica coffee,2,-51
TUN,Tunisia,acof,0,NA,arabica coffee,NA,NA
TUR,Turkey,acof,0,NA,arabica coffee,NA,NA
TKM,Turkmenistan,acof,0,NA,arabica coffee,NA,NA
TCA,Turks and Caicos Islands,acof,0,NA,arabica coffee,NA,NA
TUV,Tuvalu,acof,0,NA,arabica coffee,NA,NA
UGA,Uganda,acof,22947.535972058773,208641,arabica coffee,1.603649880582562,-185693.46402794123
UKR,Ukraine,acof,0,NA,arabica coffee,NA,NA
ARE,United Arab Emirates,acof,0,NA,arabica coffee,NA,NA
GBR,United Kingdom,acof,0,NA,arabica coffee,NA,NA
USA,United States,acof,1851.2421379685402,1960,arabica coffee,0.0570721345400687,-108.75786203145981
URY,Uruguay,acof,0,NA,arabica coffee,NA,NA
UZB,Uzbekistan,acof,0,NA,arabica coffee,NA,NA
VUT,Vanuatu,acof,0,30,arabica coffee,2,-30
VEN,Venezuela,acof,41301.347895722836,43012,arabica coffee,0.040578440946097076,-1710.6521042771637
VNM,Vietnam,acof,43185.35416908562,1460800,arabica coffee,1.8851442162003114,-1417614.6458309144
VIR,"Virgin Islands, U.S.",acof,0,NA,arabica coffee,NA,NA
WLF,Wallis and Futuna,acof,0,NA,arabica coffee,NA,NA
ESH,Western Sahara,acof,0,NA,arabica coffee,NA,NA
YEM,Yemen,acof,18968.993507437408,18945,arabica coffee,0.0012656808327353476,23.99350743740797
ZMB,Zambia,acof,6852.223615184426,6955,arabica coffee,0.014887335452805423,-102.77638481557369
ZWE,Zimbabwe,acof,934.616664968431,700,arabica coffee,0.28706016523202654,234.616664968431
XMI,Madeira Island,acof,0,NA,arabica coffee,NA,NA
COD,Democratic Republic of the Congo,acof,3322.328546181321,29867,arabica coffee,1.5995907489892767,-26544.67145381868
AFG,Afghanistan,bana,495,NA,banana,NA,NA
ALA,Åland,bana,0,NA,banana,NA,NA
ALB,Albania,bana,0,NA,banana,NA,NA
DZA,Algeria,bana,373.1453775167465,320,banana,0.15334554406795425,53.14537751674652
ASM,American Samoa,bana,0,841,banana,2,-841
AND,Andorra,bana,9,NA,banana,NA,NA
AGO,Angola,bana,4135602.532159239,3851668,banana,0.07109676103145128,283934.53215923905
AIA,Anguilla,bana,0,NA,banana,NA,NA
ATG,Antigua and Barbuda,bana,252.8306589126587,263,banana,0.0394289905480907,-10.169341087341309
ARG,Argentina,bana,174502.4791533351,174644,banana,8.106674711890974e-4,-141.52084666490555
ARM,Armenia,bana,0,NA,banana,NA,NA
ABW,Aruba,bana,0,NA,banana,NA,NA
AUS,Australia,bana,299857.80252689123,354241,banana,0.16628435111948695,-54383.19747310877
AUT,Austria,bana,0,NA,banana,NA,NA
AZE,Azerbaijan,bana,0,NA,banana,NA,NA
BHS,Bahamas,bana,9471.607147216797,9774,banana,0.031424610350828414,-302.3928527832031
BHR,Bahrain,bana,567.7820739746094,986,banana,0.5383225009870011,-418.2179260253906
BGD,Bangladesh,bana,807386.6086268276,798012,banana,0.011678854804597268,9374.608626827598
BRB,Barbados,bana,937.3699922561646,995,banana,0.05964697027461988,-57.63000774383545
BLR,Belarus,bana,0,NA,banana,NA,NA
BEL,Belgium,bana,0,NA,banana,NA,NA
BLZ,Belize,bana,68535.70695590973,70619,banana,0.029942113920017797,-2083.293044090271
BEN,Benin,bana,20754.205684944987,20756,banana,8.645175447364594e-5,-1.794315055012703
BMU,Bermuda,bana,189.3307590484619,326,banana,0.5304136753020234,-136.6692409515381
BTN,Bhutan,bana,0,3076,banana,2,-3076
BOL,Bolivia,bana,298825.6143145561,299580,banana,0.002521318876020204,-754.3856854438782
BES,"Bonaire, Sint Eustatius and Saba",bana,0,NA,banana,NA,NA
BIH,Bosnia and Herzegovina,bana,0,NA,banana,NA,NA
BWA,Botswana,bana,0,NA,banana,NA,NA
BRA,Brazil,bana,6676388.108569302,6625211,banana,0.007694880615719622,51177.108569301665
IOT,British Indian Ocean Territory,bana,0,NA,banana,NA,NA
VGB,British Virgin Islands,bana,138.59489059448242,465,banana,1.0815370192548854,-326.4051094055176
BRN,Brunei,bana,1444.5705673098564,1630,banana,0.12062135418956278,-185.42943269014359
BGR,Bulgaria,bana,7.200000286102295,NA,banana,NA,NA
BFA,Burkina Faso,bana,0,NA,banana,NA,NA
BDI,Burundi,bana,890972.9349023253,911193,banana,0.022439737325043407,-20220.065097674727
KHM,Cambodia,bana,143905.164726004,143851,banana,3.7646266279354334e-4,54.16472600400448
CMR,Cameroon,bana,1169124.1648956537,1187547,banana,0.015634625126125293,-18422.835104346275
CAN,Canada,bana,0,NA,banana,NA,NA
CPV,Cape Verde,bana,10566.675123214722,10443,banana,0.011773159031675494,123.67512321472168
CYM,Cayman Islands,bana,96.14769744873047,216,banana,0.7679204654133641,-119.85230255126953
CAF,Central African Republic,bana,87469.60389070958,88438,banana,0.011010281396273013,-968.396109290421
TCD,Chad,bana,0,NA,banana,NA,NA
CHL,Chile,bana,0,NA,banana,NA,NA
CHN,China,bana,10896540.302016363,10940000,banana,0.003980456371069407,-43459.69798363745
CXR,Christmas Island,bana,0,NA,banana,NA,NA
CCK,Cocos Islands,bana,0,NA,banana,NA,NA
COL,Colombia,bana,3689554.333334923,3691163,banana,4.3591065540789253e-4,-1608.6666650772095
COM,Comoros,bana,0,47134,banana,2,-47134
COK,Cook Islands,bana,0,30,banana,2,-30
CRI,Costa Rica,bana,2373748.368115425,2460470,banana,0.03587824350532287,-86721.63188457489
CIV,Côte d'Ivoire,bana,346975.4754795283,375524,banana,0.07902711486821169,-28548.524520471692
HRV,Croatia,bana,0,NA,banana,NA,NA
CUB,Cuba,bana,295756.158254236,298081,banana,0.007829896507650659,-2324.841745764017
CUW,Curaçao,bana,0,NA,banana,NA,NA
CYP,Cyprus,bana,6611.490302324295,7530,banana,0.1299028147726041,-918.509697675705
CZE,Czech Republic,bana,0,NA,banana,NA,NA
DNK,Denmark,bana,0,NA,banana,NA,NA
DJI,Djibouti,bana,0,NA,banana,NA,NA
DMA,Dominica,bana,27627.58660888672,25582,banana,0.07688789705970309,2045.5866088867188
DOM,Dominican Republic,bana,915266.3281668425,1140182,banana,0.21884828604156567,-224915.67183315754
ECU,Ecuador,bana,6278025.713055193,6529676,banana,0.03929671264724935,-251650.28694480658
EGY,Egypt,bana,1258083.5285937786,1214077,banana,0.03560167560705334,44006.52859377861
SLV,El Salvador,bana,0,16133,banana,2,-16133
GNQ,Equatorial Guinea,bana,34251.43764540553,30189,banana,0.12608349023821921,4062.437645405531
ERI,Eritrea,bana,0.8999999761581421,NA,banana,NA,NA
EST,Estonia,bana,0,NA,banana,NA,NA
ETH,Ethiopia,bana,534718.9174320698,538302,banana,0.006678495283214379,-3583.0825679302216
FLK,Falkland Islands,bana,0,NA,banana,NA,NA
FRO,Faroe Islands,bana,0,NA,banana,NA,NA
FJI,Fiji,bana,3557.269580513239,4148,banana,0.15333153845278266,-590.7304194867611
FIN,Finland,bana,0,NA,banana,NA,NA
FRA,France,bana,0,NA,banana,NA,NA
GUF,French Guiana,bana,7915.737429022789,NA,banana,NA,NA
PYF,French Polynesia,bana,40.98305130004883,195,banana,1.305322122512273,-154.01694869995117
GAB,Gabon,bana,20204.94401770085,18499,banana,0.0881534975826058,1705.944017700851
GMB,Gambia,bana,121.9000015258789,NA,banana,NA,NA
GEO,Georgia,bana,0,NA,banana,NA,NA
DEU,Germany,bana,0,NA,banana,NA,NA
GHA,Ghana,bana,87485.37375535071,87505,banana,2.2431227761968161e-4,-19.62624464929104
GIB,Gibraltar,bana,0,NA,banana,NA,NA
GRC,Greece,bana,1865.7433680295944,2349,banana,0.22931722753802186,-483.2566319704056
GRL,Greenland,bana,0,NA,banana,NA,NA
GRD,Grenada,bana,8959.368103027344,2355,banana,1.1674303050579091,6604.368103027344
GLP,Guadeloupe,bana,69929.4983215332,58531,banana,0.17746308741544917,11398.498321533203
GUM,Guam,bana,292.0500030517578,354,banana,0.19178081156445442,-61.94999694824219
GTM,Guatemala,bana,3863383.9209747314,3775150,banana,0.023102318294993488,88233.92097473145
GGY,Guernsey,bana,0,NA,banana,NA,NA
GIN,Guinea,bana,271332.23182336986,227602,banana,0.17529457405059756,43730.23182336986
GNB,Guinea-Bissau,bana,8152.616990327835,8482,banana,0.0396021152592433,-329.3830096721649
GUY,Guyana,bana,15606.809214681387,8700,banana,0.5683024171275968,6906.809214681387
GUY,Guyana,bana,15606.809214681387,15570,banana,0.0023613201997626635,36.80921468138695
HTI,Haiti,bana,365716.8431272507,265776,banana,0.3165224886233962,99940.84312725067
HND,Honduras,bana,678847.7407078445,725402,banana,0.06630481451068491,-46554.259292155504
HKG,Hong Kong,bana,0,NA,banana,NA,NA
HUN,Hungary,bana,0,NA,banana,NA,NA
ISL,Iceland,bana,0,NA,banana,NA,NA
IND,India,bana,27473229.907632545,29135000,banana,0.05871125435573449,-1661770.0923674554
IDN,Indonesia,bana,7375756.602875978,7007125,banana,0.05125977019824272,368631.60287597775
IRN,Iran,bana,128553.44860100746,130117,banana,0.012089138186823006,-1563.5513989925385
IRQ,Iraq,bana,500.8999948501587,NA,banana,NA,NA
IRL,Ireland,bana,0,NA,banana,NA,NA
IMN,Isle of Man,bana,0,NA,banana,NA,NA
ISR,Israel,bana,139533.39832305908,136000,banana,0.025647695303465327,3533.398323059082
ITA,Italy,bana,349.67797589302063,345,banana,0.013468041467723258,4.67797589302063
JAM,Jamaica,bana,52620.51263678074,58702,banana,0.1092588950639612,-6081.487363219261
JPN,Japan,bana,83.7529411315918,84,banana,0.0029455086359934605,-0.24705886840820312
JEY,Jersey,bana,0,NA,banana,NA,NA
JOR,Jordan,bana,38310.685119628906,40857,banana,0.06432712732533234,-2546.3148803710938
KAZ,Kazakhstan,bana,0,NA,banana,NA,NA
KEN,Kenya,bana,1223815.3301252723,1288588,banana,0.05156231811832383,-64772.669874727726
KIR,Kiribati,bana,799.9062957763672,7881,banana,1.6314180715598527,-7081.093704223633
XKO,Kosovo,bana,0,NA,banana,NA,NA
KWT,Kuwait,bana,0,0,banana,NaN,0
KGZ,Kyrgyzstan,bana,0,NA,banana,NA,NA
LAO,Laos,bana,855445.1263716817,796200,banana,0.07174074554602515,59245.12637168169
LVA,Latvia,bana,0,NA,banana,NA,NA
LBN,Lebanon,bana,73172.62280988693,72842,banana,0.004528626017373724,330.6228098869324
LSO,Lesotho,bana,46.89999866485596,NA,banana,NA,NA
LBR,Liberia,bana,136818.76391232014,137673,banana,0.006224129099572754,-854.236087679863
LBY,Libya,bana,0,0,banana,NaN,0
LIE,Liechtenstein,bana,0,NA,banana,NA,NA
LTU,Lithuania,bana,0,NA,banana,NA,NA
LUX,Luxembourg,bana,0,NA,banana,NA,NA
MAC,Macao,bana,0,NA,banana,NA,NA
MKD,Macedonia,bana,0,NA,banana,NA,NA
MDG,Madagascar,bana,372555.37358772755,373565,banana,0.0027063365323148976,-1009.6264122724533
MWI,Malawi,bana,431389.0268857479,429048,banana,0.005441483368564426,2341.0268857479095
MYS,Malaysia,bana,284446.6537954509,309508,banana,0.08438807927306796,-25061.346204549074
MDV,Maldives,bana,0,402,banana,2,-402
MLI,Mali,bana,111022.24901795387,172323,banana,0.4326929863444569,-61300.75098204613
MLT,Malta,bana,0,NA,banana,NA,NA
MHL,Marshall Islands,bana,0,NA,banana,NA,NA
MTQ,Martinique,bana,183456.94189453125,197642,banana,0.07444291519127047,-14185.05810546875
MRT,Mauritania,bana,0,NA,banana,NA,NA
MUS,Mauritius,bana,6340.313638210297,7731,banana,0.19766262021384126,-1390.6863617897034
MYT,Mayotte,bana,0,NA,banana,NA,NA
MEX,Mexico,bana,2432097.1122759655,2384778,banana,0.019647224050036584,47319.11227596551
FSM,Micronesia,bana,358.22398376464844,2035,banana,1.4012696075339408,-1676.7760162353516
MDA,Moldova,bana,0,NA,banana,NA,NA
MCO,Monaco,bana,0,NA,banana,NA,NA
MNG,Mongolia,bana,0,NA,banana,NA,NA
MNE,Montenegro,bana,0,NA,banana,NA,NA
MSR,Montserrat,bana,159.1058807373047,196,banana,0.20779221783707003,-36.89411926269531
MAR,Morocco,bana,293956.60838890076,333820,banana,0.12699865231806887,-39863.39161109924
