Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value
"GM","Manure Management","7","Angola","72446","Emissions (CO2eq) from CH4 (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","14.616"
"GM","Manure Management","7","Angola","72346","Direct emissions (N2O) (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","0.0188"
"GM","Manure Management","7","Angola","72366","Indirect emissions (N2O) (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","0"
"GM","Manure Management","7","Angola","72306","Emissions (N2O) (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","0.0188"
"GM","Manure Management","7","Angola","72356","Direct emissions (CO2eq) (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","5.8195"
"GM","Manure Management","7","Angola","72376","Indirect emissions (CO2eq) (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","0"
"GM","Manure Management","7","Angola","72436","Emissions (CO2eq) from N2O (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","5.8195"
"GM","Manure Management","7","Angola","72316","Emissions (CO2eq) (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","20.4355"
"GM","Manure Management","8","Antigua and Barbuda","5111","Stocks","1053","Chickens, broilers","2016","2016","Head","99768"
"GM","Manure Management","8","Antigua and Barbuda","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","20909.6767"
"GM","Manure Management","8","Antigua and Barbuda","72246","Implied emission factor for CH4 (Manure management)","1053","Chickens, broilers","2016","2016","kg CH4/head","0.02"
"GM","Manure Management","8","Antigua and Barbuda","72296","Implied emission factor for N2O (Manure management)","1053","Chickens, broilers","2016","2016","kg N2O-N/kg N","0.005"
"GM","Manure Management","8","Antigua and Barbuda","72256","Emissions (CH4) (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","0.002"
"GM","Manure Management","8","Antigua and Barbuda","72446","Emissions (CO2eq) from CH4 (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","0.0419"
"GM","Manure Management","8","Antigua and Barbuda","72346","Direct emissions (N2O) (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","0.0002"
"GM","Manure Management","8","Antigua and Barbuda","72366","Indirect emissions (N2O) (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","0"
"GM","Manure Management","8","Antigua and Barbuda","72306","Emissions (N2O) (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","0.0002"
"GM","Manure Management","8","Antigua and Barbuda","72356","Direct emissions (CO2eq) (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","0.0509"
"GM","Manure Management","8","Antigua and Barbuda","72376","Indirect emissions (CO2eq) (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","0"
"GM","Manure Management","8","Antigua and Barbuda","72436","Emissions (CO2eq) from N2O (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","0.0509"
"GM","Manure Management","8","Antigua and Barbuda","72316","Emissions (CO2eq) (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","0.0928"
"GM","Manure Management","9","Argentina","5111","Stocks","1053","Chickens, broilers","2016","2016","Head","68000000"
"GM","Manure Management","9","Argentina","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","14251644"
"GM","Manure Management","9","Argentina","72246","Implied emission factor for CH4 (Manure management)","1053","Chickens, broilers","2016","2016","kg CH4/head","0.018"
"GM","Manure Management","9","Argentina","72296","Implied emission factor for N2O (Manure management)","1053","Chickens, broilers","2016","2016","kg N2O-N/kg N","0.005"
"GM","Manure Management","9","Argentina","72256","Emissions (CH4) (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","1.2257"
"GM","Manure Management","9","Argentina","72446","Emissions (CO2eq) from CH4 (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","25.74"
"GM","Manure Management","9","Argentina","72346","Direct emissions (N2O) (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","0.112"
"GM","Manure Management","9","Argentina","72366","Indirect emissions (N2O) (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","0"
"GM","Manure Management","9","Argentina","72306","Emissions (N2O) (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","0.112"
"GM","Manure Management","9","Argentina","72356","Direct emissions (CO2eq) (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","34.7129"
"GM","Manure Management","9","Argentina","72376","Indirect emissions (CO2eq) (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","0"
"GM","Manure Management","9","Argentina","72436","Emissions (CO2eq) from N2O (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","34.7129"
